id,name,content_type_id,codename
1,Can add post,1,add_post
2,Can change post,1,change_post
3,Can delete post,1,delete_post
4,Can view post,1,view_post
5,Can add profile,2,add_profile
6,Can change profile,2,change_profile
7,Can delete profile,2,delete_profile
8,Can view profile,2,view_profile
9,Can add log entry,3,add_logentry
10,Can change log entry,3,change_logentry
11,Can delete log entry,3,delete_logentry
12,Can view log entry,3,view_logentry
13,Can add permission,4,add_permission
14,Can change permission,4,change_permission
15,Can delete permission,4,delete_permission
16,Can view permission,4,view_permission
17,Can add group,5,add_group
18,Can change group,5,change_group
19,Can delete group,5,delete_group
20,Can view group,5,view_group
21,Can add user,6,add_user
22,Can change user,6,change_user
23,Can delete user,6,delete_user
24,Can view user,6,view_user
25,Can add content type,7,add_contenttype
26,Can change content type,7,change_contenttype
27,Can delete content type,7,delete_contenttype
28,Can view content type,7,view_contenttype
29,Can add session,8,add_session
30,Can change session,8,change_session
31,Can delete session,8,delete_session
32,Can view session,8,view_session
33,Can add author,9,add_author
34,Can change author,9,change_author
35,Can delete author,9,delete_author
36,Can view author,9,view_author
37,Can add research,10,add_research
38,Can change research,10,change_research
39,Can delete research,10,delete_research
40,Can view research,10,view_research
41,Can add research author,11,add_researchauthor
42,Can change research author,11,change_researchauthor
43,Can delete research author,11,delete_researchauthor
44,Can view research author,11,view_researchauthor
45,Can add post,12,add_post
46,Can change post,12,change_post
47,Can delete post,12,delete_post
48,Can view post,12,view_post
49,Can add author,13,add_author
50,Can change author,13,change_author
51,Can delete author,13,delete_author
52,Can view author,13,view_author
53,Can add research,14,add_research
54,Can change research,14,change_research
55,Can delete research,14,delete_research
56,Can view research,14,view_research
57,Can add research author,15,add_researchauthor
58,Can change research author,15,change_researchauthor
59,Can delete research author,15,delete_researchauthor
60,Can view research author,15,view_researchauthor
