desc_first_discovery_method,id
cartografia storica,1
fonti orali,2
fotointerpretazione/foto restituzione,3
riprese da drone,4
indagini geomorfologiche (carotaggi etc.),5
prospezioni geofisiche,6
ricognizione estensivo-topografica,7
ricognizione intensivo-sistematica,8
scavo archeologico,9
archeologia preventiva,10
documentazione di indagini archeologiche,11
resti materiali visibili nell'area,12
lavori agricoli,13
notizie bibliografiche,14
notizie d'archivio,15
rinvenimento fortuito,16
prospezione subacquea,17
