denominazione_comune,lat,lon,sigla_provincia,id,id_province
Agliè,45.3634368,7.7685999,TO,1,94
Airasca,44.9168832,7.4844311,TO,2,94
Ala di Stura,45.3151133,7.3043438,TO,3,94
Albiano d'Ivrea,45.4338982,7.9491448,TO,4,94
Almese,45.1176634,7.3951819,TO,5,94
Alpette,45.4099867,7.5785972,TO,6,94
Alpignano,45.0944696,7.5242673,TO,7,94
Andezeno,45.0358599,7.8699487,TO,8,94
Andrate,45.528381,7.8738392,TO,9,94
Angrogna,44.8434461,7.2242923,TO,10,94
Arignano,45.044028,7.9024464,TO,11,94
Avigliana,45.0793571,7.3963234,TO,12,94
Azeglio,45.4248665,7.9947706,TO,13,94
Bairo,45.3862534,7.756918,TO,14,94
Balangero,45.2700324,7.5193095,TO,15,94
Baldissero Canavese,45.408408,7.7444444,TO,16,94
Baldissero Torinese,45.0684227,7.8178077,TO,17,94
Balme,45.302297,7.218314,TO,18,94
Banchette,45.4608553,7.8565637,TO,19,94
Barbania,45.2905029,7.6305109,TO,20,94
Bardonecchia,45.0781688,6.7038239,TO,21,94
Barone Canavese,45.3277288,7.8705562,TO,22,94
Beinasco,45.0220777,7.5791581,TO,23,94
Bibiana,44.7975756,7.2897861,TO,24,94
Bobbio Pellice,44.8077018,7.1179046,TO,25,94
Bollengo,45.4733626,7.9453487,TO,26,94
Borgaro Torinese,45.1519831,7.6578944,TO,27,94
Borgiallo,45.4168178,7.6677336,TO,28,94
Borgofranco d'Ivrea,45.5130128,7.858522,TO,29,94
Borgomasino,45.361555,7.9887996,TO,30,94
Borgone Susa,45.1231397,7.241214,TO,31,94
Bosconero,45.2685663,7.7650698,TO,32,94
Brandizzo,45.1776535,7.8414756,TO,33,94
Bricherasio,44.8255775,7.3028877,TO,34,94
Brosso,45.4927657,7.8033343,TO,35,94
Brozolo,45.1174194,8.0712784,TO,36,94
Bruino,45.0202313,7.4676911,TO,37,94
Brusasco,45.1559558,8.0600942,TO,38,94
Bruzolo,45.1431255,7.1939769,TO,39,94
Buriasco,44.873355,7.411923,TO,40,94
Burolo,45.4841252,7.9320566,TO,41,94
Busano,45.3288398,7.6557436,TO,42,94
Bussoleno,45.1372801,7.1493187,TO,43,94
Buttigliera Alta,45.0670146,7.4367807,TO,44,94
Cafasse,45.2447136,7.5181235,TO,45,94
Caluso,45.307865,7.8915053,TO,46,94
Cambiano,44.9734576,7.7793248,TO,47,94
Campiglione Fenile,44.8021199,7.3250382,TO,48,94
Candia Canavese,45.3281713,7.8866124,TO,49,94
Candiolo,44.9602633,7.6012111,TO,50,94
Canischio,45.3743498,7.5952182,TO,51,94
Cantalupa,44.9403073,7.3326039,TO,52,94
Cantoira,45.3432391,7.3816797,TO,53,94
Caprie,45.1178654,7.3325065,TO,54,94
Caravino,45.3986096,7.9602135,TO,55,94
Carema,45.5844545,7.8123043,TO,56,94
Carignano,44.9066637,7.6753431,TO,57,94
Carmagnola,44.8465448,7.7181575,TO,58,94
Casalborgone,45.129963,7.9404405,TO,59,94
Cascinette d'Ivrea,45.4784597,7.9046983,TO,60,94
