ripartizione_geografica,codice_regione,denominazione_regione,tipologia_regione,superficie_kmq,id_region
Nord-ovest,1,Piemonte,statuto ordinario,"25386,6971",1
Nord-ovest,2,Valle d'Aosta/Vallée d'Aoste,statuto speciale,"3260,8545",2
Nord-ovest,3,Lombardia,statuto ordinario,"23854,3405",3
Nord-est,4,Trentino-Alto Adige/Südtirol,statuto speciale,"13604,7211",4
Nord-est,5,Veneto,statuto ordinario,"18345,3694",5
Nord-est,6,Friuli-Venezia Giulia,statuto speciale,"7932,4822",6
Nord-ovest,7,Liguria,statuto ordinario,"5416,1520",7
Nord-est,8,Emilia-Romagna,statuto ordinario,"22501,4320",8
Centro,9,Toscana,statuto ordinario,"22987,4371",9
Centro,10,Umbria,statuto ordinario,"8464,2234",10
Centro,11,Marche,statuto ordinario,"9344,2939",11
Centro,12,Lazio,statuto ordinario,"17231,7228",12
Sud,13,Abruzzo,statuto ordinario,"10831,4964",13
Sud,14,Molise,statuto ordinario,"4460,4373",14
Sud,15,Campania,statuto ordinario,"13670,5980",15
Sud,16,Puglia,statuto ordinario,"19540,5182",16
Sud,17,Basilicata,statuto ordinario,"10073,1105",17
Sud,18,Calabria,statuto ordinario,"15221,6149",18
Isole,19,Sicilia,statuto speciale,"25832,5453",19
Isole,20,Sardegna,statuto speciale,"24099,4529",20
