id,desc_typology_detail,id_typology,id_functional_class
1,acropoli,12,1
2,area urbana,12,1
3,castelliere,8,1
4,borgo,8,1
5,castello,8,1
6,dongione,8,1
7,motta,8,1
8,villaggio nuragico,8,1
9,terramara,9,1
10,riparo rupestre,10,1
11,struttura scavata,10,1
12,struttura semi-rupestre,10,1
14,capanna,11,1
16,villa,11,1
17,casale,11,1
18,podere,11,1
19,complesso curtense,11,1
20,villaggio,11,1
21,tomba in fossa,13,2
22,tomba alla cappuccina,13,2
23,sarcofago,13,2
24,urna cineraria,13,2
25,cenotafio,13,2
26,dolmen,13,2
27,menhir,13,2
28,monumento funerario,13,2
29,catacomba,14,2
30,cimitero,14,2
31,necropoli,14,2
32,colombario,14,2
33,deposizioni-gruppo familiare,14,2
34,recinto,14,2
35,rogo votivo,14,2
36,sepolcreto rupestre,14,2
37,tofet,14,2
38,dolmen,14,2
39,monumento funerario,14,2
40,dolmen,14,2
41,canalizzazione,1,6
42,centuriazione,1,6
43,recinzione,1,6
44,terrazzamento a scopo agricolo,1,6
45,tracce di bonifica,1,6
46,tracce di coltivazione,1,6
47,ospedale,2,6
48,ospizio,2,6
49,criptoportico,3,6
50,sostruzione,3,6
51,terrapieno artificiale,3,6
52,terrazzamento a scopo di consolidamento,3,6
53,edificio rurale di servizio,4,6
54,grangia,4,6
55,magazzino,4,6
56,mansio,4,6
57,mutatio,4,6
58,silos,4,6
59,stalla,4,6
60,stazione di sosta,4,6
61,acquedotto,5,6
62,bacino di decantazione,5,6
63,canale,5,6
64,castellum aquae,5,6
65,cisterna,5,6
66,condotta,5,6
67,diga,5,6
68,fontana,5,6
69,fontana monumentale,5,6
70,fosso di drenaggio,5,6
71,opera di drenaggio,5,6
72,pozzo,5,6
73,tubatura,5,6
74,banchina,6,6
75,cantiere navale,6,6
76,faro,6,6
77,frangiflutti,6,6
78,molo,6,6
79,porto,6,6
80,galleria stradale,7,6
81,ponte,7,6
82,segnacolo stradale,7,6
83,strada,7,6
84,tagliata,7,6
85,tracciato viario,7,6
86,viadotto,7,6
13,azienda agricola/fattoria,11,1
15,casa/fattoria,11,1
